rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
55,757707,743182,559992,1213643,358304,880661,883025,498670,870507,366763,1038870,551972,850530,862542,401952,562574,271577,572896,452262,876417,255810,278862,478930,493433,312783,650168,533782,385000,409793,279367,635934,405081,414237,406198,494147,658633,547063
56,747717,741453,557373,1210316,353333,869302,845597,476553,858632,363962,1016731,547045,797672,823153,385508,559918,261958,560779,443777,874929,242921,278134,473987,487830,302353,649720,523325,382201,409673,278825,635673,391999,401797,400544,466739,657564,542475
57,736264,701748,555252,1196215,349173,868242,840045,473782,854668,353937,1010130,535919,792793,820067,382798,552231,260523,557917,430138,844617,242251,276208,468634,486010,300710,620897,517742,382069,409433,240271,622351,386002,377228,391902,461269,656991,542392
58,696785,699362,554370,1191841,349147,861868,821002,470918,839091,340825,1002143,508919,776899,806029,374964,545573,256589,557089,427682,837555,241975,267655,451507,480549,290669,619914,503492,364584,393302,226977,618636,378748,368754,390222,459858,656495,506022
59,673734,697449,545799,1188728,320119,846211,797014,463009,834465,313152,1001120,498743,776280,803304,363389,544085,238527,556207,424814,817729,236947,266020,448376,475816,290103,618281,500905,362834,390481,220450,608909,373754,365119,389171,441219,652966,505933
60,648665,690662,524844,1184988,314339,837950,794018,447292,825766,312459,976396,482379,751358,794172,360469,540343,238375,523345,408377,813488,235346,259575,446605,461730,282491,613756,482493,315933,387015,202084,608190,369993,360319,382965,420922,651146,503536
61,646249,682426,521721,1170996,313478,824632,754782,436260,805955,303326,933923,480885,740872,733187,354042,538332,219044,517045,398216,798338,232762,257064,446220,447759,280936,605691,478984,312426,375874,201749,582541,364960,354645,382288,399031,643582,503362
62,642102,664246,520126,1163306,311989,823195,748522,433006,758352,298833,926913,473457,739241,727764,339241,520265,210940,506817,397994,789106,228448,241957,445531,440507,266857,601293,477832,311341,374452,169672,581520,360803,352174,380480,390502,608965,500526
63,618819,619297,518703,1155233,306766,768521,720569,426708,755197,292453,921100,471817,737078,702901,339211,509840,205996,503350,394597,774502,223741,230906,444915,432490,266036,583506,467574,304092,369490,167687,558197,351462,343681,379799,355767,602311,482436
64,608174,617225,517750,1141667,293709,753027,711607,425421,734674,271892,898231,471569,734432,701755,335752,503846,202548,488837,389906,765076,213972,230496,439867,424398,249221,577610,466300,293658,367918,167271,557485,350354,336915,379719,346397,600620,480838
