rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
45,3099857,3125717,3319407,5065505,3181279,3053508,3785735,3179252,3055582,2500348,4621372,2758956,5023118,2943462,2673658,2934269,2282638,2782893,2675345,4512644,2000049,2463448,2609705,2718123,2614790,3088189,2782860,2433774,3212238,2299686,2902413,2589967,2723000,2662540,2756565,5353957,2648008
46,3098670,3122216,3318590,4970552,3180967,3052156,3774263,3171344,3053572,2498725,4607879,2756560,5015544,2883822,2671395,2925624,2277129,2774983,2672182,4505860,1995445,2459722,2609363,2715834,2611241,3079070,2779996,2433634,3210079,2292783,2884976,2589573,2706153,2659375,2754702,5342817,2628086
47,3085161,3115649,3317914,4856530,3170851,3048812,3751734,3160869,3048816,2498597,4602461,2747617,5014679,2883350,2640725,2917535,2276404,2770890,2637110,4504478,1988999,2448047,2600997,2712444,2598062,3073879,2773918,2422703,3209664,2285523,2879656,2585312,2704424,2652584,2752942,5340807,2613321
48,3075791,3115137,3300734,4823717,3166414,3048356,3746300,3150598,3047329,2489911,4593015,2745356,5013739,2850937,2633848,2913919,2275238,2764822,2632683,4502676,1978107,2447615,2598085,2710709,2588574,3050278,2761502,2417717,3209010,2281561,2865285,2581872,2695448,2642057,2744068,5334388,2612860
49,3071757,3109847,3263569,4816996,3162265,3045909,3719272,3150000,3040478,2485054,4571029,2743963,5011873,2848043,2633024,2913695,2270424,2762494,2630475,4500824,1968432,2447148,2574347,2706282,2586403,3041591,2761419,2415642,3203035,2278786,2858507,2578842,2683647,2637102,2727097,5319886,2607619
50,3064979,3095919,3246076,4816716,3158372,3018106,3715911,3147254,3031258,2475405,4568869,2740909,5011511,2839338,2627233,2900548,2256786,2742057,2627807,4488767,1958917,2443620,2560329,2706097,2572028,3032867,2750667,2414851,3190515,2263308,2852284,2578045,2682654,2635450,2724067,5315135,2602487
51,3057279,3093541,3244389,4807650,3153677,3004196,3714212,3133061,3027460,2472519,4561532,2740402,5008828,2832303,2626611,2893379,2256134,2732600,2626420,4487409,1952434,2442301,2549770,2705044,2543880,3024089,2748089,2410702,3184951,2260624,2847666,2571096,2681170,2628890,2721023,5312150,2592939
52,3027761,3084925,3225653,4807097,3153295,3004038,3713556,3116098,3022985,2468444,4556957,2739916,5007720,2831166,2626267,2884929,2253726,2721917,2624939,4476685,1922594,2436903,2548744,2684292,2533668,3022330,2732416,2410585,3174508,2258639,2845103,2562931,2672436,2622761,2691920,5311533,2583185
53,3010000,3084015,3222665,4776842,3147188,3000092,3696427,3111013,3019504,2462443,4545450,2731476,5006690,2820810,2619323,2864179,2253633,2713701,2620901,4466330,1916379,2435998,2543671,2679791,2532137,3018851,2729521,2394244,3173955,2254894,2830000,2562900,2666079,2620393,2687312,5309652,2582171
54,3008568,3081477,3199628,4753050,3144003,2978251,3690241,3100000,3015032,2457302,4530117,2723458,5005548,2807111,2619094,2863885,2252746,2708262,2620163,4465524,1907863,2435914,2541549,2673716,2530372,2988736,2725941,2354798,3156652,2254673,2824064,2558952,2663113,2617928,2679668,5309544,2553199
55,3007128,3074136,3182959,4747515,3143859,2977047,3689852,3082227,3002108,2438088,4523330,2717272,5004934,2798333,2619048,2845242,2245142,2705812,2617727,4462502,1891915,2431205,2540047,2671098,2519845,2976711,2722181,2329708,3135338,2254544,2818118,2553704,2655321,2615951,2677574,5307254,2542163
56,3005145,3060881,3158383,4742585,3139363,2975199,3678555,3061420,3000000,2437153,4521811,2713829,5004218,2791067,2612835,2840057,2238322,2702900,2614005,4458679,1885866,2427996,2535930,2669248,2518955,2960008,2715378,2325355,3121717,2242990,2815486,2548758,2645830,2609551,2673704,5299932,2538063
57,3002300,3059047,3153324,4714283,3134900,2945218,3669360,3056387,3000000,2434298,4517185,2704033,5003410,2790890,2600000,2837705,2232959,2700582,2613357,4453799,1884891,2427528,2534086,2667982,2512120,2915017,2704398,2315750,3117403,2242732,2804550,2539062,2644149,2609155,2668718,5295549,2523061
58,3001752,3048711,3145650,4705022,3129034,2942850,3664539,3054805,2995637,2432231,4505342,2690124,5002647,2752272,2598290,2832471,2228972,2698512,2606389,4446551,1873053,2420535,2524062,2660278,2500049,2886734,2701849,2311529,3113757,2240566,2795266,2535102,2637921,2607073,2662165,5295304,2513355
59,3000240,3048530,3097698,4700110,3128331,2903867,3657674,3052773,2991618,2424242,4503952,2688185,5000326,2745594,2595434,2825771,2226490,2693578,2599461,4444444,1867741,2405541,2509204,2657865,2486948,2872642,2694668,2309438,3101114,2228707,2793771,2533768,2635750,2601429,2650106,5295080,2512153
60,3000000,3046597,3095002,4677081,3122159,2903303,3643517,3045980,2978592,2422798,4500000,2687198,5000000,2730624,2590684,2821465,2226398,2674171,2593398,4433852,1865855,2404734,2500201,2657340,2480943,2870358,2685910,2299813,3099172,2226524,2788645,2526065,2635665,2594136,2645354,5293465,2510345
61,2992611,3044314,3087354,4672873,3116898,2896414,3643231,3041839,2971790,2419495,4499328,2680799,4999929,2720732,2565024,2806317,2226205,2672006,2591343,4425428,1855937,2404357,2496428,2656893,2475018,2869850,2669601,2294343,3098142,2223135,2777157,2525547,2635180,2587576,2639822,5291674,2509625
62,2972624,3040562,3085817,4655786,3116222,2891781,3641529,3028782,2962635,2417905,4469949,2679091,4994012,2710850,2562647,2803151,2213530,2651230,2585085,4422441,1849530,2400000,2492739,2655341,2474315,2855340,2664193,2290117,3087984,2220872,2763884,2516949,2625056,2584540,2638102,5279004,2505548
63,2961541,3032694,3081173,4653106,3110765,2871245,3637819,3023747,2956753,2415596,4466432,2676893,4992341,2709374,2556790,2802948,2211118,2638346,2576691,4420035,1843197,2398539,2488434,2651719,2463883,2838897,2664058,2271771,3085927,2217471,2758963,2511894,2624444,2582122,2634415,5278598,2503304
64,2959272,3031096,3073308,4646751,3107638,2860945,3634712,3017222,2955863,2413495,4461691,2676227,4989718,2695397,2554694,2801970,2210129,2634169,2569973,4408961,1840923,2396444,2479030,2639534,2463264,2838203,2660652,2270533,3085396,2216943,2746981,2510065,2613307,2576807,2633240,5277729,2502576
65,2957018,3028577,3071956,4640181,3107331,2856966,3626984,3004684,2947735,2412901,4458483,2674874,4989429,2680184,2551678,2800543,2208429,2631520,2568390,4408712,1835762,2383381,2469853,2636897,2461155,2811063,2658149,2269419,3072648,2212935,2744920,2507732,2612344,2573258,2631692,5268804,2500313
66,2952105,3026360,3067989,4639977,3105429,2842946,3625008,3000014,2944163,2407090,4448576,2674196,4987311,2677743,2548785,2800266,2204804,2627667,2564439,4404261,1834612,2379937,2441864,2634630,2461023,2809013,2656440,2266959,3047037,2212874,2742733,2507675,2611279,2573038,2630617,5260876,2495777
67,2948503,3026140,3064834,4625139,3103600,2830802,3621194,2953998,2941957,2406528,4446747,2672223,4979229,2673601,2542239,2787171,2204328,2627627,2561970,4396679,1833827,2379704,2441558,2622175,2458852,2805872,2655730,2265915,3044415,2211113,2740515,2506329,2608937,2569405,2622338,5259346,2475469
68,2945726,3023144,3057173,4618635,3102284,2822541,3610651,2949528,2939627,2405868,4445491,2671486,4973191,2655686,2540704,2782151,2201789,2625404,2559134,4395522,1831982,2379498,2438029,2615708,2456993,2801616,2648947,2262385,3041977,2208929,2739419,2505984,2583753,2556442,2622268,5250958,2475451
